,Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0, Maruti Alto 800 LXI Opt,2023,410000,10000,Petrol,Individual, Manual,First Owner,19.0,999.0,71.0,96.0,5.0
1, Skoda Slavia 1.0 TSI Ambition,2023,1350000,10000,Petrol,Individual, Manual,First Owner,14.0,1956.0,167.0,350.0,5.0
2, BMW 3 Series Gran Limousine 320Ld Luxury Line,2023,5800000,1000,Diesel,Dealer, Automatic,First Owner,18.0,998.0,118.0,172.0,5.0
3, MG ZS EV Exclusive,2023,2650000,10000,Electric,Dealer, Automatic,First Owner,32.0,998.0,58.0,78.0,5.0
4, Tata Punch Adventure,2023,715000,10000,Petrol,Individual, Manual,First Owner,12.0,1451.0,141.0,250.0,5.0
5, Maruti S-Presso VXi Plus,2023,450000,30171,Petrol,Individual, Manual,First Owner,19.0,999.0,71.0,96.0,5.0
6, Maruti S-Presso LXi,2022,425000,1994,Petrol,Dealer, Manual,First Owner,19.0,999.0,113.0,178.0,5.0
7, Hyundai Creta SX Turbo,2022,1895000,22000,Petrol,Individual, Automatic,First Owner,12.0,1997.0,296.0,400.0,5.0
8, Renault Kiger RXT AMT Opt DT,2022,842000,6424,Petrol,Individual, Automatic,First Owner,14.0,1956.0,167.0,350.0,5.0
9, Renault KWID CLIMBER,2022,567000,5148,Petrol,Dealer, Manual,First Owner,18.0,998.0,118.0,172.0,5.0
10, Mahindra XUV300 W8 Diesel Sunroof,2022,1197000,5030,Diesel,Individual, Manual,Second Owner,32.0,998.0,58.0,78.0,5.0
11, Mahindra XUV700 AX5 Diesel AT,2022,2275000,28000,Diesel,Individual, Automatic,First Owner,12.0,1451.0,141.0,250.0,5.0
12, Renault Triber RXT,2022,800000,10000,Petrol,Individual, Manual,Second Owner,21.0,1197.0,81.0,113.0,5.0
13, Hyundai Creta SX Diesel AT,2021,1950000,8000,Diesel,Individual, Automatic,First Owner,13.0,2993.0,265.0,620.0,5.0
14, Renault KWID CLIMBER,2021,567000,5868,Petrol,Individual, Manual,First Owner,18.0,998.0,118.0,172.0,5.0
15, Nissan Magnite XV Premium,2021,850000,2963,Petrol,Individual, Manual,First Owner,32.0,998.0,58.0,78.0,5.0
16, Renault Triber RXZ,2021,785000,11192,Petrol,Individual, Manual,Second Owner,12.0,1451.0,141.0,250.0,5.0
17, Hyundai Tucson Platinum AT,2021,2975000,3600,Petrol,Dealer, Automatic,First Owner,21.0,1197.0,81.0,113.0,5.0
18, Maruti Alto 800 LXI Opt,2021,358000,29751,Petrol,Dealer, Manual,First Owner,19.0,999.0,71.0,96.0,5.0
19, Hyundai i20 Sportz Diesel,2021,977000,13522,Diesel,Individual, Manual,First Owner,18.0,2198.0,182.0,450.0,5.0
20,BMW X7 xDrive 30d DPE,2020,7200000,5000,Diesel,Individual,Automatic,First Owner,13.0,2993.0,265.0,620.0,7.0
21,Datsun GO T Option,2020,450000,10000,Petrol,Individual,Manual,First Owner,19.0,1198.0,67.0,104.0,5.0
22,Datsun RediGO 1.0 S,2020,350000,2136,Petrol,Individual,Manual,First Owner,22.0,999.0,67.0,91.0,5.0
23,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.0,120.0,5.0
24,Honda Civic ZX Diesel BSIV,2020,2125000,5500,Diesel,Dealer,Manual,First Owner,26.0,1597.0,118.0,300.0,5.0
25,Honda Civic ZX Diesel BSIV,2020,2125000,5500,Diesel,Dealer,Manual,First Owner,26.0,1597.0,118.0,300.0,5.0
26,Hyundai Creta 1.4 EX Diesel,2020,1050000,20000,Diesel,Individual,Manual,First Owner,22.0,1396.0,88.0,219.0,5.0
27,Hyundai Creta 1.6 CRDi AT SX Plus,2020,1950000,2700,Diesel,Dealer,Automatic,First Owner,17.0,1582.0,126.0,259.0,5.0
28,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.0,117.0,5.0
29,Hyundai Grand i10 Nios AMT Sportz,2020,675000,5000,Petrol,Individual,Automatic,First Owner,20.0,1197.0,81.0,113.0,5.0
30,Hyundai Grand i10 Nios Sportz,2020,775000,2000,Petrol,Dealer,Manual,First Owner,20.0,1197.0,81.0,113.0,5.0
31,Hyundai Grand i10 Sportz,2020,330000,70000,Petrol,Individual,Manual,Second Owner,18.0,1197.0,81.0,113.0,5.0
32,Hyundai Santro Magna,2020,500000,1000,Petrol,Individual,Manual,First Owner,20.0,1086.0,68.0,99.0,5.0
33,Hyundai Xcent 1.2 VTVT E,2020,360000,65000,Petrol,Individual,Manual,Second Owner,20.0,1197.0,81.0,113.0,5.0
34,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.0,1197.0,81.0,113.0,5.0
35,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.0,1197.0,81.0,113.0,5.0
36,Kia Seltos HTX Plus AT D,2020,1900000,5000,Diesel,Dealer,Automatic,First Owner,17.0,1493.0,113.0,250.0,5.0
37,Kia Seltos HTX Plus AT D,2020,1900000,5000,Diesel,Dealer,Automatic,First Owner,17.0,1493.0,113.0,250.0,5.0
38,Mahindra Bolero Pik-Up FB 1.7T,2020,679000,5000,Diesel,Individual,Manual,First Owner,0.0,2523.0,70.0,200.0,2.0
39,Mahindra KUV 100 D75 K6 Plus,2020,480000,44665,Diesel,Individual,Manual,First Owner,25.0,1198.0,77.0,190.0,6.0
40,Mahindra KUV 100 D75 K8,2020,550000,60000,Diesel,Individual,Manual,First Owner,25.0,1198.0,77.0,190.0,6.0
41,Mahindra Scorpio S11 4WD BSIV,2020,1500000,50000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,320.0,7.0
42,Mahindra XUV500 W7,2020,830000,120000,Diesel,Individual,Manual,First Owner,15.0,2179.0,152.0,360.0,7.0
43,Maruti Alto 800 LXI,2020,350000,5000,Petrol,Individual,Manual,First Owner,22.0,796.0,47.0,69.0,5.0
44,Maruti Alto 800 LXI,2020,350000,5000,Petrol,Individual,Manual,First Owner,22.0,796.0,47.0,69.0,5.0
45,Maruti Alto 800 LXI CNG,2020,370000,16000,CNG,Individual,Manual,First Owner,33.0,796.0,47.0,69.0,5.0
